Idade,Gênero,IMC,Filhos,Fumante,Região,Encargos
56.0,feminino,29.774373714007336,2.0,sim,sudoeste,31109.889763423336
46.0,masculino,25.857394655216346,1.0,não,nordeste,26650.702646642694
32.0,masculino,23.014839993647488,0.0,não,sudoeste,21459.03799039332
60.0,masculino,21.408754358226314,5.0,sim,sudeste,32704.38
24.0,masculino,30.240916724539056,4.0,não,sudeste,19920.46
46.0,masculino,36.141241184689305,1.0,sim,centro-oeste,37270.62
54.0,masculino,28.453621499426693,2.0,não,centro-oeste,25026.81
21.0,feminino,33.280740986629514,3.0,não,centro-oeste,20840.37
44.0,masculino,25.654493632971602,5.0,sim,sul,
49.0,feminino,29.340262757234735,1.0,não,centro-oeste,24470.13
44.0,masculino,27.194200937973493,1.0,sim,sudeste,32397.10
70.0,masculino,36.502605252653779,4.0,sim,norte,42251.30
70.0,feminino,20.762975676850493,2.0,sim,norte,34381.49
47.0,feminino,34.394029822583950,1.0,não,sudeste,26597.01
95.0,feminino,23.403365257011153,4.0,não,nordeste,30701.68
69.0,feminino,36.161196315993749,,sim,sul,41880.60
56.0,feminino,38.188948943438179,3.0,não,sul,30294.47
56.0,masculino,22.813159848435473,1.0,sim,norte,32606.58
92.0,feminino,38.106020808999054,3.0,não,sudeste,37453.01
18.0,feminino,31.871422990313050,0.0,sim,nordeste,29535.71
60.0,masculino,23.193806742142098,1.0,sim,sul,33596.90
66.0,masculino,37.941569110384935,0.0,não,centro-oeste,32170.78
86.0,feminino,22.116018222319720,5.0,sim,sudeste,38258.01
28.0,masculino,30.042853981697840,3.0,não,nordeste,20621.43
48.0,masculino,33.051949845898293,4.0,não,norte,26125.97
47.0,feminino,39.598638182904644,4.0,sim,sudeste,39199.32
50.0,masculino,32.018449526386232,5.0,sim,sul,36009.22
21.0,feminino,28.738014572320120,5.0,não,sudeste,18569.01
64.0,feminino,37.751803334995355,5.0,sim,sul,41675.90
97.0,feminino,20.117077049638940,0.0,sim,sudeste,39458.54
31.0,masculino,20.856947490484015,2.0,não,nordeste,16628.47
30.0,masculino,31.482013711927725,4.0,sim,sul,31741.01
27.0,feminino,29.157103157248465,2.0,sim,sudeste,29978.55
54.0,feminino,33.741990958297815,5.0,sim,nordeste,37671.00
55.0,feminino,24.719855265103589,,sim,nordeste,33359.93
64.0,masculino,23.576561439305615,3.0,não,sudeste,24588.28
96.0,masculino,28.327197557540722,1.0,não,sul,33363.60
22.0,,31.941463204040135,1.0,sim,sul,30370.73
62.0,feminino,22.384019215566297,5.0,não,norte,23592.01
92.0,feminino,39.293880022559803,0.0,sim,nordeste,48046.94
19.0,feminino,32.357839194103784,1.0,não,sul,19978.92
33.0,feminino,38.890342281983654,3.0,sim,centro-oeste,36045.17
39.0,masculino,27.885826212918308,2.0,sim,,31742.91
19.0,masculino,34.168567268991820,1.0,sim,norte,30884.28
58.0,masculino,40.378129496510134,1.0,não,sul,31789.06
31.0,feminino,29.955132819000123,1.0,sim,sul,31177.57
68.0,feminino,28.088894900718700,2.0,não,norte,27644.45
43.0,feminino,26.985917640136714,0.0,não,norte,22092.96
97.0,masculino,32.259072846531888,4.0,não,sul,35529.54
84.0,feminino,21.467884228627851,1.0,sim,centro-oeste,37533.94
20.0,masculino,27.484487150882762,0.0,não,nordeste,17742.24
55.0,masculino,32.925209523904434,0.0,sim,centro-oeste,37462.60
55.0,masculino,32.769297952891416,4.0,sim,centro-oeste,37384.65
84.0,feminino,21.862784924053536,0.0,não,norte,27731.39
53.0,masculino,39.401574379139572,3.0,não,nordeste,30300.79
20.0,masculino,37.846922658293740,,sim,sudeste,32923.46
22.0,masculino,24.339100733570430,4.0,sim,centro-oeste,26569.55
20.0,feminino,29.966523212423992,3.0,não,norte,18983.26
46.0,feminino,26.225297856254338,1.0,não,nordeste,22312.65
22.0,feminino,37.060042225005703,4.0,não,centro-oeste,22930.02
52.0,masculino,25.523297270061496,0.0,não,sul,
35.0,masculino,37.218601985185579,0.0,não,centro-oeste,25609.30
55.0,masculino,24.859351831836730,4.0,sim,nordeste,33429.68
31.0,masculino,28.971912935472010,3.0,sim,nordeste,30685.96
32.0,feminino,23.559777207127364,4.0,não,sul,18179.89
31.0,feminino,40.699991081383843,2.0,sim,sul,
64.0,feminino,29.708737863178841,3.0,sim,centro-oeste,37654.37
25.0,feminino,25.412794207295875,2.0,não,sudeste,17706.40
49.0,masculino,34.843039694803903,2.0,não,norte,27221.52
